,combind_scores
DEC_0509,3.4171149670295637
DEC_0550,3.6275953543411923
DEC_0392,5.1085359273986795
DEC_0546,3.556248727089847
DEC_0480,3.270588232539299
DEC_0400,2.9985954406024984
DEC_0531,3.8702829840622175
DEC_0410,3.801779835404052
DEC_0535,2.2449928949862143
DEC_0391,3.777912405159701
DEC_0517,2.2034460438703074
DEC_0472,3.1616547540607316
DEC_0541,3.315965705412471
DEC_0578,4.7251738657620965
DEC_0459,4.164108911965216
DEC_0416,2.02695123789917
DEC_0524,2.679487795689549
DEC_0557,2.6359158292168283
DEC_0411,2.7057507798630445
DEC_0458,4.400247639262166
DEC_0402,4.617841149535493
DEC_0401,2.760012194056682
DEC_0473,1.508301986130812
DEC_0438,3.608663426839539
DEC_0406,0.8637226646983391
DEC_0565,3.4453080282018376
DEC_0474,3.6714595851831264
DEC_0510,2.000500500384395
DEC_0470,2.154131273648108
DEC_1412,6.4250435060000415
DEC_1433,7.369206858289063
DEC_1403,7.1692072600389976
DEC_1422,6.884495804923421
DEC_1429,7.321404719104272
DEC_1406,6.566167864275087
DEC_1559,7.3752985039507255
DEC_1392,7.042732402170895
DEC_1393,6.710244639023099
DEC_1494,5.041676767749427
DEC_1558,6.431892108446458
DEC_1555,7.086734328540168
DEC_1449,6.280036248257406
DEC_1563,7.031719703554759
DEC_1503,6.922704018638363
DEC_1509,6.392960899283686
DEC_1508,7.355343559759548
DEC_1557,6.1208112775396835
DEC_1408,5.404515257001626
DEC_1539,7.564938050999888
DEC_1546,6.767508459533401
DEC_1382,6.191383813428814
DEC_1495,4.3241484303448745
DEC_1421,5.502842768929365
DEC_1443,5.612783219283122
DEC_1420,5.801942343005453
DEC_1552,7.005189568506438
DEC_1507,6.650372212602873
DEC_1565,6.1455098781569975
DEC_1561,6.041337617325675
DEC_1451,5.280103253745318
DEC_1481,5.0607829255295265
DEC_1536,6.304304182643669
DEC_1521,6.532499908586239
DEC_1580,5.4503217353128885
DEC_1404,4.823468293402117
DEC_1573,5.591021354464553
DEC_1528,6.533394839219449
DEC_1572,5.755459241792719
DEC_1554,5.882105296303991
DEC_1399,6.242615252098044
DEC_1502,5.726567549159836
DEC_1551,5.382885606564973
DEC_1575,5.332834608528146
DEC_1381,5.653971455175656
DEC_1444,5.019626021423489
DEC_1578,5.203116861436085
DEC_1564,5.367172265590658
DEC_1418,5.407756019389452
DEC_1543,6.140510540868534
DEC_1574,5.273035590172544
DEC_1562,6.637151177360779
DEC_1505,6.125798522441263
DEC_1459,4.372710978131559
DEC_1524,6.951072959319259
DEC_1515,6.741215363262022
DEC_1413,5.319086712539155
DEC_1577,5.725869028143918
DEC_1386,6.25916790401541
DEC_1538,5.4418046941955485
DEC_1531,5.084340761119947
DEC_1405,4.497278819114845
DEC_1439,4.605041738549488
DEC_1553,5.7322931126546175
DEC_1401,4.338939369652234
DEC_1568,5.018402567183179
DEC_1397,4.796993941188584
DEC_1400,6.845001171976255
DEC_1394,5.273687398871771
DEC_1415,1.987998066371956
DEC_1417,1.987998066371956
DEC_1560,6.053189756776824
DEC_1438,4.364645145273987
DEC_1423,2.424701152192805
DEC_1530,6.6792430416256385
DEC_1453,4.7036501296221225
DEC_1579,4.81433263638161
DEC_1519,6.232401672886697
DEC_1425,4.885057455508661
DEC_1437,3.311373418033242
DEC_1569,4.962817169624836
DEC_1441,4.886802853025971
DEC_1518,6.20891568663469
DEC_1533,6.300547856004849
DEC_1544,5.783031847709377
DEC_1496,4.386938499610168
DEC_1434,-2.349747059684619
DEC_1537,5.622466639556507
DEC_1513,4.498468945721661
DEC_1570,6.230116731576969
DEC_1571,4.601190562392878
DEC_1442,-5.311013870790942
DEC_1576,4.824110958869747
DEC_1510,4.33739310064941
DEC_1556,4.316024487685458
DEC_1525,4.320702337444445
DEC_1387,3.955085509009752
DEC_1435,-0.9432807050259093
DEC_1547,3.9924420423697793
DEC_1411,3.6350585540639684
DEC_1517,4.684294523083245
DEC_1452,-0.3988671675812303
DEC_1516,4.7468551423938194
DEC_1512,5.69501332794338
DEC_1468,3.8166940630637973
DEC_1388,3.7836155757211607
DEC_1526,4.161854152802512
DEC_1426,0.4782703473902252
DEC_1440,4.131021431562986
DEC_1549,4.081894303078618
DEC_1529,2.8783836250503194
DEC_1450,3.750759981640278
DEC_1467,-4.64848947059641
DEC_1445,-4.120130406576562
DEC_1523,3.7975126388715807
DEC_1416,3.852628727373964
DEC_1410,-3.4500507156133917
DEC_1447,3.6958581922786666
DEC_1514,3.7838270820970106
DEC_1477,-8.036341051104184
DEC_1567,3.738844342632321
DEC_1541,3.3653941303572594
DEC_1428,3.130480121060012
DEC_1540,5.2919301519557065
DEC_1385,3.2711076060217787
DEC_1522,1.1456572545687664
DEC_1511,3.7901520438604486
DEC_1566,2.90425102039971
DEC_1548,3.357811120739481
DEC_1545,3.279986279190858
DEC_1390,-0.13920647004678388
DEC_1389,3.180900226303799
DEC_1501,-2.1334778714784752
DEC_1398,3.2412803642974097
DEC_1492,-2.5849339728088943
DEC_1527,2.751939257894671
DEC_1384,4.754688207105147
DEC_1550,3.185077243012263
DEC_1535,3.7326081977374175
DEC_1542,3.3637473674775125
DEC_1532,3.904577523260132
DEC_1520,2.2171342075910605
DEC_1490,-7.855774438901138
DEC_1478,-0.42745959248735677
DEC_1506,4.493991346762241
DEC_1466,-13.523057955416935
DEC_1395,3.7468814368578776
DEC_1391,4.891809675680094
DEC_1534,3.940892611320362
DEC_1409,2.4601409802762477
DEC_1402,2.6962429779749026
DEC_1383,4.18205489975543
DEC_1504,3.8313316053071045
DEC_1419,0.45984050705197577
DEC_1472,-0.8576897272229091
DEC_1414,2.1994661356944345
DEC_1499,-4.088912469415165
DEC_1474,-7.560120771278095
DEC_1430,-4.266023481939878
DEC_1396,3.212988802664394
DEC_1497,-6.5211549722223765
DEC_1491,-1.0570009722151452
DEC_1469,-14.60108027899299
DEC_1498,-9.11296821549307
DEC_1489,-9.183588096081607
DEC_1473,-10.063333629129794
DEC_1407,-14.40325805279874
DEC_1456,-14.40325805279874
